variable,inc_prop
Built.Area,13.2262496789779
Trees,11.578765118965
osm_roads,7.25430860122004
building_area,6.20529011490167
building_count,5.9430371532466
osm_pofw,5.24282587532933
osm_transport,2.98416003200929
DNB,2.8419576330039
Clouds,2.700552137264
SR_B4,2.6868494269092
NDWI,2.47215052688377
Bare.ground,2.08834853777464
Water,2.05602301661913
osm_traffic,1.9866903187644
SR_B6,1.94550481985256
Rangeland,1.93545038907028
ST_EMIS,1.77593336393789
osm_places,1.72570788993249
SR_B3,1.70315617500448
Snow.Ice,1.65532180082695
SR_B7,1.56375572284429
SR_B2,1.45343156896818
SR_B5,1.42225544761422
NDVI,1.4150321406027
ST_B10,1.40663822548871
ST_DRAD,1.37404465495242
ST_URAD,1.25692289252137
Flooded.vegetation,1.24600988031784
ST_ATRAN,1.22471033541292
osm_pois,1.22454176157171
Crops,1.2096284456416
osm_railways,1.19484431659024
ST_TRAD,1.04324003129612
NDBI,1.0388886714222
SR_B1,0.994666661361143
ST_EMSD,0.923106632900782
