"","predicted","observed","residual","model"
"1",67.8560077514065,64.1615529090055,-3.69445484240092,"RF"
"2",46.6816919110899,31.4382844936292,-15.2434074174607,"RF"
"3",131.496038508378,141.607422454496,10.1113839461181,"RF"
"5",46.4784517707621,30.1539765548912,-16.3244752158709,"RF"
"9",34.1039788352429,30.8868897680727,-3.21708906717024,"RF"
"10",25.419893766219,19.3985502342718,-6.02134353194716,"RF"
"11",43.5473798377577,53.4362050636496,9.88882522589191,"RF"
"18",20.3559068520619,21.4002931522027,1.04438630014077,"RF"
"19",5.55382836613743,2.33009604965798,-3.22373231647946,"RF"
"20",44.9613817895251,16.8760637416004,-28.0853180479248,"RF"
"28",1752.04905828246,3015.61870797291,1263.56964969045,"RF"
"33",2011.65380846437,3242.93752604611,1231.28371758174,"RF"
"36",948.955305191763,1360.86655907845,411.911253886689,"RF"
"42",5.35418540166605,3.57719985598763,-1.77698554567842,"RF"
"44",66.1287437963938,95.527337202477,29.3985934060833,"RF"
"45",25.4592918255072,30.4071505242912,4.94785869878407,"RF"
"48",15.3486765304216,17.732132037454,2.3834555070324,"RF"
"55",18.1638119111363,13.6619323906937,-4.50187952044268,"RF"
"57",95.7461315370108,90.8296038789635,-4.91652765804729,"RF"
"58",20.6973624062904,21.3753767527107,0.67801434642038,"RF"
"59",36.9502479933811,27.742893925231,-9.20735406815012,"RF"
"61",123.947779444909,108.973649461337,-14.9741299835714,"RF"
"65",8.24433860103441,4.75619948460193,-3.48813911643248,"RF"
"70",8.33904667535174,12.8052528655216,4.46620619016985,"RF"
"75",19.9268544234807,10.4482022572205,-9.47865216626024,"RF"
"77",47.9099316348883,43.6453070600746,-4.2646245748137,"RF"
"83",38.7128152941631,33.7945949030567,-4.91822039110637,"RF"
"84",7.81674259510138,9.25630935180257,1.43956675670118,"RF"
"85",15.0844100028444,17.927790342952,2.84338034010766,"RF"
"87",20.9941266314209,32.4642566743319,11.470130042911,"RF"
"88",7.58580515138641,5.67993725824954,-1.90586789313687,"RF"
"98",39.5732332360758,34.8405922970069,-4.73264093906883,"RF"
"100",5.75974895281943,1.54603389155945,-4.21371506125997,"RF"
"102",73.1259409877582,88.6381629466754,15.5122219589172,"RF"
"104",36.8820343682851,104.116521574018,67.234487205733,"RF"
"105",91.235096762481,127.360577369009,36.125480606528,"RF"
"107",42.4804050249615,40.1698123010967,-2.31059272386481,"RF"
"108",27.5824242162747,58.2422823543506,30.6598581380759,"RF"
"111",32.279459209302,51.473847379685,19.1943881703831,"RF"
"112",77.5461570011609,95.2788455285515,17.7326885273907,"RF"
"120",62.8702788396447,63.9637724882266,1.09349364858183,"RF"
"123",42.5248872217169,39.1307435448952,-3.39414367682172,"RF"
"130",887.71405686721,1205.91010538329,318.196048516082,"RF"
"136",66.2063706685338,36.292919530558,-29.9134511379758,"RF"
"139",97.0561824427224,86.3346190465287,-10.7215633961938,"RF"
"142",21.0124312965421,38.1772636698518,17.1648323733097,"RF"
"144",24.424571885779,23.7727180491937,-0.6518538365853,"RF"
